year,athlete_id,round,rank,time_in_seconds,speedkmh
2000,66,heat 1,1,10.956,65.717
2000,81,heat 1,2,,
2000,67,heat 2,1,11.054,65.135
2000,80,heat 2,2,,
2000,68,heat 3,1,10.865,66.268
2000,79,heat 3,2,,
2000,69,heat 4,1,,
2000,78,heat 4,2,,
2000,70,heat 5,1,11.008,65.407
2000,77,heat 5,2,,
2000,71,heat 6,1,11.102,64.853
2000,61,heat 6,2,,
2000,76,heat 7,1,,
2000,72,heat 7,2,,
2000,75,heat 8,1,,
2000,58,heat 8,2,,
2000,73,heat 9,1,10.938,65.826
2000,74,heat 9,2,,
2000,81,First repechage heat 1,1,11.186,64.366
2000,74,First repechage heat 1,2,,
2000,61,First repechage heat 1,3,,
2000,72,First repechage heat 2,1,10.951,65.747
2000,77,First repechage heat 2,2,,
2000,80,First repechage heat 2,3,,
2000,58,First repechage heat 3,1,11.805,60.991
2000,79,First repechage heat 3,2,,
2000,66,1/8 finals,1,10.799,66.673
2000,58,1/8 finals,2,,
2000,67,1/8 finals,1,11.049,65.164
2000,72,1/8 finals,2,,
2000,68,1/8 finals,1,10.906,66.019
2000,81,1/8 finals,2,,
2000,69,1/8 finals,1,10.682,67.403
2000,73,1/8 finals,2,,
2000,75,1/8 finals,1,10.682,67.403
2000,70,1/8 finals,2,,
2000,76,1/8 finals,1,11.382,63.236
2000,71,1/8 finals,2,,
2000,58,Second repechage heat 1,1,11.414,63.080
2000,71,Second repechage heat 1,2,,
2000,73,Second repechage heat 1,3,,
2000,72,Second repechage heat 2,1,11.108,64.818
2000,70,Second repechage heat 2,2,,
2000,81,Second repechage heat 2,3,,
2000,66,1/4 finals,1,10.888,10.973
2000,72,1/4 finals,2,,
2000,67,1/4 finals,1,10.648,10.833
2000,58,1/4 finals,2,,
2000,68,1/4 finals,1,10.744,10.781
2000,57,1/4 finals,2,,
2000,69,1/4 finals,1,10.966,10.904
2000,75,1/4 finals,2,,
2000,66,1/2 finals,1,10.930,10.903
2000,69,1/2 finals,2,,
2000,68,1/2 finals,1,,10.877
2000,67,1/2 finals,2,10.822,
2000,71,finals,9,11.078,64.994
2000,70,finals,10,,
2000,81,finals,11,,
2000,73,finals,0,,
2000,75,finals,5,11.040,65.217
2000,76,finals,6,,
2000,58,finals,7,,
2000,72,finals,8,,
2000,69,finals,3,10.732,10.918
2000,67,finals,4,,
2000,66,finals,1,10.874,11.066
2000,68,finals,2,,
2004,45,heat 1,1,10.510,
2004,39,heat 1,2,,
2004,21,heat 2,1,10.799,
2004,65,heat 2,2,,
2004,54,heat 3,1,11.104,
2004,64,heat 3,2,,
2004,41,heat 4,1,10.988,
2004,63,heat 4,2,,
2004,55,heat 5,1,11.166,
2004,62,heat 5,2,,
2004,56,heat 6,1,10.768,
2004,60,heat 6,2,,
2004,7,heat 7,1,10.833,
2004,46,heat 7,2,,
2004,76,heat 8,1,11.234,
2004,59,heat 8,2,,
2004,58,heat 9,1,11.025,
2004,50,heat 9,2,,
2004,60,First repechage heat 1,1,10.731,
2004,50,First repechage heat 1,2,,
2004,39,First repechage heat 1,3,,
2004,46,First repechage heat 2,1,10.740,
2004,62,First repechage heat 2,2,,
2004,65,First repechage heat 2,3,,
2004,59,First repechage heat 3,1,11.006,
2004,64,First repechage heat 3,2,,
2004,63,First repechage heat 3,3,,
2004,45,1/8 finals,1,10.520,
2004,59,1/8 finals,2,,
2004,21,1/8 finals,1,11.164,
2004,46,1/8 finals,2,,
2004,54,1/8 finals,1,10.548,
2004,60,1/8 finals,2,,
2004,41,1/8 finals,1,10.936,
2004,58,1/8 finals,2,,
2004,55,1/8 finals,1,10.772,
2004,76,1/8 finals,2,,
2004,7,1/8 finals,1,10.848,
2004,56,1/8 finals,2,,
2004,56,Second repechage heat 1,1,10.906,
2004,59,Second repechage heat 1,2,,
2004,58,Second repechage heat 1,3,,
2004,60,Second repechage heat 2,1,11.294,
2004,46,Second repechage heat 2,2,,
